Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,16911232,11,15,2407,13138,1020,0,218.8181818,373.7512055,3818,0,875.8666667,1203.317015,919.2115631,1.537439732,676449.28,2341184.655,9999317,1,16900000,1687629.3,3572924.619,9999317,183,16900000,1205882.5,3083217.911,10000000,1,0,0,0,0,232,324,0.650455271,0.886984461,0,3818,575.7407407,975.7136872,952017.1994,0,0,0,1,0,0,0,0,1,597.8846154,218.8181818,875.8666667,232,0,0,0,0,0,0,11,2407,15,13138,8192,1074,10,20,161507.0,187970.1956,294422,28592,8276639.5,2436233.884,9999317,6553962,BENIGN
80,103597308,15,3,2541,6,231,0,169.4,105.7374106,6,0,2.0,3.464101615,24.58558093,0.173749689,6093959.294,12900000.0,51300000,80,104000000,7399794.143,13900000.0,51300000,349,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,496,100,0.144791407,0.028958281,0,231,134.0526316,116.8034787,13643.05263,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3703409.0,5236623.518,7406261,557,19200000.0,18800000.0,51300000,5774873,DoS slowloris
80,196808,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,60.97313117,10.16218853,196808.0,0.0,196808,196808,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.081094264,5.081094264,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,34944,4816,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,152854,10,8,534,4138,201,0,53.4,74.6699404044,1418,0,517.25,629.9452924092,30565.1144229134,117.7594305677,8991.4117647059,14642.4743044799,36610,1,152854,16983.7777777778,25156.8920217591,61221,3,89304,12757.7142857143,17502.5290811955,37418,4,0,0,0,0,328,264,65.421905871,52.3375246968,0,1418,245.8947368421,462.3655233611,213781.877192982,0,0,0,1,0,0,0,0,0,259.5555555556,53.4,517.25,328,0,0,0,0,0,0,10,534,8,4138,29200,340,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,63116633,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110905789,10500000.0,11900000.0,32100000,997313,63100000,10500000.0,11900000.0,32100000,997313,0,0.0,0.0,0,0,0,0,0,0,280,0,0.110905789,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7005259.0,0.0,7005259,7005259,18700000.0,12200000.0,32100000,8015920,DoS Slowhttptest
80,2070742,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.4875605,2.414593416,517685.5,1034560.337,2069526,333,2070742,517685.5,1034560.337,2069526,333,0,0.0,0.0,0,0,0,0,0,0,100,0,2.414593416,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
20221,44,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,181818.1818,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,22727.27273,22727.27273,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53539,9,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1333333.333,222222.2222,9.0,0.0,9,9,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,111111.1111,111111.1111,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,242,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
53,182,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,1054945.055,21978.02198,60.66666667,23.69247419,88,46,46,46.0,0.0,46,46,48,48.0,0.0,48,48,0,0,0,0,64,64,10989.01099,10989.01099,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,64,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,98687795,6,6,298,11595,298,0,49.66666667,121.6579906,5792,0,1932.5,2179.547086,120.511356,0.121595583,8971617.727,29700000.0,98600000,4,98600000,19700000.0,44100000.0,98600000,4,84503,16900.6,31263.4047,72071,85,0,0,0,0,200,200,0.060797792,0.060797792,0,5792,914.8461538,1716.780021,2947333.641,0,0,0,0,1,0,0,0,1,991.0833333,49.66666667,1932.5,200,0,0,0,0,0,0,6,298,6,11595,274,235,1,32,955.0,0.0,955,955,98600000.0,0.0,98600000,98600000,DoS Hulk
1073,14,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,428571.4286,142857.1429,14.0,0.0,14,14,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,71428.57143,71428.57143,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,88910284,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.022494586,88900000.0,0.0,88900000,88900000,88900000,88900000.0,0.0,88900000,88900000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.022494586,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,88900000.0,0.0,88900000,88900000,DoS GoldenEye
